,Unnamed: 0,Unnamed: 6,Star_name.1,Distance.1,Mass.1,Radius.1
0,0,,,,,
1,1,,,,,
2,2,,,,,
3,3,,,,,
4,4,,,,,
5,5,,,,,
6,6,,,,,
7,7,,,,,
8,8,,,,,
9,9,,,,,
10,10,,,,,
11,11,,,,,
12,12,,,,,
13,13,,,,,
14,14,,,,,
15,15,,,,,
16,16,,,,,
17,17,,,,,
18,18,,,,,
19,19,,,,,
20,20,,,,,
21,21,,,,,
22,22,,,,,
23,23,,,,,
24,24,,,,,
25,25,,,,,
26,26,,,,,
27,27,,,,,
28,28,,,,,
29,29,,,,,
30,30,,,,,
31,31,,,,,
32,32,,,,,
33,33,,,,,
34,34,,,,,
35,35,,,,,
36,36,,,,,
37,37,,,,,
38,38,,,,,
39,39,,,,,
40,40,,,,,
41,41,,,,,
42,42,,,,,
43,43,,,,,
44,44,,,,,
45,45,,,,,
46,46,,,,,
47,47,,,,,
48,48,,,,,
49,49,,,,,
50,50,,,,,
51,51,,,,,
52,52,,,,,
53,53,,,,,
54,54,,,,,
55,55,,,,,
56,56,,,,,
57,57,,,,,
58,58,,,,,
59,59,,,,,
60,60,,,,,
61,61,,,,,
62,62,,,,,
63,63,,,,,
64,64,,,,,
65,65,,,,,
66,66,,,,,
67,67,,,,,
68,68,,,,,
69,69,,,,,
70,70,,,,,
71,71,,,,,
72,72,,,,,
73,73,,,,,
74,74,,,,,
75,75,,,,,
76,76,,,,,
77,77,,,,,
78,78,,,,,
79,79,,,,,
80,80,,,,,
81,81,,,,,
82,82,,,,,
83,83,,,,,
84,84,,,,,
85,85,,,,,
86,86,,,,,
87,87,,,,,
88,88,,,,,
89,89,,,,,
90,90,,,,,
91,91,,,,,
92,92,,,,,
93,93,,,,,
94,94,,,,,
95,95,,,,,
96,0,,,,,
97,1,,,,,
98,2,,,,,
99,3,,,,,
100,4,,,,,
101,5,,,,,
102,6,,,,,
103,7,,,,,
104,8,,,,,
105,9,,,,,
106,10,,,,,
107,11,,,,,
108,12,,,,,
109,13,,,,,
110,14,,,,,
111,15,,,,,
112,16,,,,,
113,17,,,,,
114,18,,,,,
115,19,,,,,
116,20,,,,,
117,21,,,,,
118,22,,,,,
119,23,,,,,
120,24,,,,,
121,25,,,,,
122,26,,,,,
123,27,,,,,
124,28,,,,,
125,29,,,,,
126,30,,,,,
127,31,,,,,
128,32,,,,,
129,33,,,,,
130,34,,,,,
131,35,,,,,
132,36,,,,,
133,37,,,,,
134,38,,,,,
135,39,,,,,
136,40,,,,,
137,41,,,,,
138,42,,,,,
139,43,,,,,
140,44,,,,,
141,45,,,,,
142,46,,,,,
143,47,,,,,
144,48,,,,,
145,49,,,,,
146,50,,,,,
147,51,,,,,
148,52,,,,,
149,53,,,,,
150,54,,,,,
151,55,,,,,
152,56,,,,,
153,57,,,,,
154,58,,,,,
155,59,,,,,
156,60,,,,,
157,61,,,,,
158,62,,,,,
159,63,,,,,
160,64,,,,,
161,65,,,,,
162,66,,,,,
163,67,,,,,
164,68,,,,,
165,69,,,,,
166,70,,,,,
167,71,,,,,
168,72,,,,,
169,73,,,,,
170,74,,,,,
171,75,,,,,
172,76,,,,,
173,77,,,,,
174,78,,,,,
175,79,,,,,
176,80,,,,,
177,81,,,,,
178,82,,,,,
179,83,,,,,
180,84,,,,,
181,85,,,,,
182,86,,,,,
183,87,,,,,
184,88,,,,,
185,89,,,,,
186,90,,,,,
187,91,,,,,
188,92,,,,,
189,93,,,,,
190,94,,,,,
191,95,,,,,
192,96,,,,,
193,97,,,,,
194,98,,,,,
195,99,,,,,
196,100,,,,,
197,101,,,,,
198,102,,,,,
199,103,,,,,
200,104,,,,,
201,105,,,,,
202,106,,,,,
203,107,,,,,
204,108,,,,,
205,109,,,,,
206,110,,,,,
207,111,,,,,
208,112,,,,,
209,113,,,,,
210,114,,,,,
211,115,,,,,
212,116,,,,,
213,117,,,,,
214,118,,,,,
215,119,,,,,
216,120,,,,,
217,121,,,,,
218,122,,,,,
219,123,,,,,
220,124,,,,,
221,125,,,,,
222,126,,,,,
223,127,,,,,
224,128,,,,,
225,129,,,,,
226,130,,,,,
227,131,,,,,
228,132,,,,,
229,133,,,,,
230,134,,,,,
231,135,,,,,
232,136,,,,,
233,137,,,,,
234,138,,,,,
235,139,,,,,
236,140,,,,,
237,141,,,,,
238,142,,,,,
239,143,,,,,
240,144,,,,,
241,145,,,,,
242,146,,,,,
243,147,,,,,
244,148,,,,,
245,149,,,,,
246,150,,,,,
247,151,,,,,
248,152,,,,,
249,153,,,,,
250,154,,,,,
251,155,,,,,
252,156,,,,,
253,157,,,,,
